Title,Paragraphs,Place,Date,Open,URL,Coverage,Images,Witness_id,Cluster_id
"Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954)","Close Seasons for Game, &c. The
following aro the oloso seasons
throughout Victoria for the year TOE
WHOLE YEAR. All birds, except sparrows
and minas, not indigenous to Australia
and their produce (iocludng eggH),
antelope, bee-eaters, bustard or wild
turkey, Californian quail, deer,
epitliianuras, fantails, fly-catchers,
great kingfisher or laugh,ing jackass,
grouse, ibis, lyre-Tbirds, magpies,
magpie lurks, owls, partridges,
phossantB, platypus, podargus or
mopokes, robins, seals, 1 southern stone
plover or curlew, bwsUOW warblers, white
swan, wron*. 14tii Junk TO 20TH
DECEMBER. Black swan, emu, wild goeae of
all kinds. 1ST AUGUST TO LAST DAY OF
FEBRUARY FOLLOWING. 'Jronze-wh'ged or
othur wild pigoonw, quail. 1ST Aitoust
TO 2(>rir DECEMBER (Roth dates
inolusivo.) All b'rds kn<nvn ah erauos,
such as hoions, grots, etc. honey-
eaters, oxcepfc wattle bird and eathor
heads ; all members of the jirauculus
fninily ; avocet, bittern, black
cockatoo?, co.ieh-whip bird, cuckoos,
gang gang coekatooR, landrail, all other
members of the rail family, porphyrio,
coots, etc. ; larks and those known as
pipot anil cincloramphua Riallee hen,
night-jaro, plover or peew t, ull thv-r
kinds of plover excops tho soutnearn
stonplover or curlew ; shrike-tit,
sittells, stilts, Hwamp or ground
parrakeet, tca*«, thrushes, tree-
crcopers, thickheads, wedge-bill, wild
duck of any spccios, wood swallows","Echuca, Victoria",1898-07-28,true,http://trove.nla.gov.au/ndp/del/article/114964676,http://dbpedia.org/resource/Echuca,,PDegbJABXJXPPepFNbin,8591153933
"Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954)","Close Seasons for Game, &c. The
following aro the close seasons
throughout Victoria for the year .. THE
WHOLE YRAB, All birds, oxcept sparrows
and xninas, not inigenous to Australia
and their produce (includng eggs),
antelopb, bco-oaters; buBtard or wild
turkey, Oalifornian quail, deer,
epithiannras, faritails, fly-catchers,
great kingfisher or laughing jackass,
grouse, ibis, lyre-birds, magpies,
magpie' larka, : owls, partridges,
pheasants, platypus, podargns or
mopokes, robins, seals, southern stono
plovor or curlew, swallow warblers,
white swan, wens. 14TH J ONE TO 20TJI
DEGEMBEK. Black Bwon, omu, wild geese of
all kinds. 1ST AUGUST TO LAST DAY OF
FEBRUARY FOLLOWINGJ Bronze-winged or
other wild pigeona, quail. 1ST AUGUST to
20TH DECEMBER (Both dates inclusive.)
All birds known AS cranes, such as
heronB, bird and eather heads ; all
members of tho crauculue family ;
avocot, bittern, black cockatoos, coaoh-
whip-bird, cuokoos, gang gang cockatoos,
land rail, all other members of tho rail
family, porphyrio, coots, etc.; larks
and | those known as pipet and
cincloramphuu malieo hen, night-jars,
plover or peow t, u!i ! thcr kinds of
plover oxceps the Boutheam ston* plover
or curlew ; shrike-tit, sittalls,
stilts, swamp or ground parrakcet, ttu»»
thrushes, tree-creepers, thickheads,
wedge-bill, wild duck any species, wood
swallows","Echuca, Victoria",1898-12-24,true,http://trove.nla.gov.au/ndp/del/article/114968785,http://dbpedia.org/resource/Echuca,,mTegbJABXJXPPepFNbin,8591153933
"Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954)","Olose Seasons for Game, &c. The
following aro the close seasons
throughout Victoria for the year :— ' ;
' THE WHOLE year. 'AH birds, except
sparrows and minas, not in'Jgcnous to
Australia and their produce (include
.;ng«ggf), antelope, bee-eaters, bustard
or wild turkfiy, Californian quail,
deer, epithianuras, fantuils, fly-
catchers, great kingfisher or laughirig
Jackass, grouse, ibis, lyre-birds,
magpies, ; magpie, larks. ow)a,
partridges, pheasants, platypus,
podargus or mopokes, robins, seals, '
Southern atone plover or curlew, swallow
warbWs, white swan, wrenn.","Echuca, Victoria",1899-02-07,true,http://trove.nla.gov.au/ndp/del/article/115008468,http://dbpedia.org/resource/Echuca,,tDegbJABXJXPPepFNbin,8591153933
"Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954)","Close Seasons for Game, &c. The
following aro the close seasons for J
throughout Victoria for tho year TUB
""SVHOLK YKAR. All birds, oxcept sparrows
and minas, not indigenous to Australia
and their produce (including eggs),
antclopo, beO'Cuters, buBtard or wild
turkey, Californian quail, deer,
cpithianuras, fantuils, fly-cat chore,
great kingfisher or laughing jackass,
grouso, ibis, lyro-Dirds, magpies,
magpio larks. owls, partridges,
pheasants, platypus, podargua or
mopokcB, ","Echuca, Victoria",1898-04-07,true,http://trove.nla.gov.au/ndp/del/article/114961928,http://dbpedia.org/resource/Echuca,,JTegbJABXJXPPepFNbin,8591153933
"Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954)","Close Seasons for Game, &c. The
following are the close seasons |
throughout Victoria for the year : i THE
WHOLE YE\H. 1 All btrda, excopt sparrows
and minaa, not iu! igenous to Australia
and their produce (iuolud* : ng cggp),
antelope, beefeaters, bustard or wild
turkey, Californian. quail, accr,
cpithiauuraa, fantuils, fly«catohers,
great kingfisher or larigh* fog jackass,
grouse,'ibia, lyre-birds, magpies,
magpie lurks, owls, partridges,
pheasants, platypus, podargus or
mopokes, robins, seals, southern stone
plovor or curlew, swallow warblors,
white swan, wrenu. 14th JUNE TO 20TH
DECEMBER. Black swan, omu, wild geese of
all kinds. 1ST AUGUST TO LAST DAV op
February FOLLOWING, Frunze-winged or
othor wild pigeons, quail. 1st AUGUST TO
20tij DEOEMBER (Both dates inclusive.)
All birds kuown as cranes, such as
herons, .grets, otc. honey»eaterB,
except wattlo bird and eather heads ;
all members of the craueulns frmlly ;
avocet, bittern, block'cockatoos,
co;toh-whip bird, cuckoos, gang gang
cockatoos, land rail, all other members
of the rail family, porphyrio, coots,
etc. ; larks and those known as pipot
and cincloramphuB mallee hen, nightmare,
plover or peew t, u?i thrr kinds of
plover ercope tho southcarn ston* plover
or curlew ; fbrikc-tit, sit tells,
stiltu, swamp or ground parrakect, tt»»,
thrushes,' tree-creepers, thickheads,
wedge-bill, wild duck any species, wood
swallows","Echuca, Victoria",1898-12-22,true,http://trove.nla.gov.au/ndp/del/article/114968714,http://dbpedia.org/resource/Echuca,,mDegbJABXJXPPepFNbin,8591153933
"Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954)","Close Seasons for Game, &c. The
following arc tho dose seasons for
throughout Victoria for the year THE
WHOLE YEAR, All birds, except sparrows
and minaa, not indigenous to Australia
and their produce (including eggs),
antelope, boo-eaters, bustard or wild
turkey, Californian quail, deer,
cpithianurae, fantaila, fly.oatchers,
great kingfisher or laughing jackass,
grouse, ibis, lyro-birdo, magpies,
magpie larks, owls, partridges,
pheasants, platypus, podargus or
mopokes, robins, seals, southern Btone
plover or curlew, Bwallow warblers,
white swan, wrenb. 14TH JUNK TO '20tu
DECEMBER. Black swan, cmiis wild geese
of all kinds, 1ST AUGUST TO LAST DAY OF
Febiiuary FOLLOWING. Bronze-wiuged or
other wild pigeons, quail. 1ST AUGUST TO
20tji DECEMBER (Both dates inclusive.)
All birds known as cranes, such as
hcronB, grots, etc. honoy-eaters, except
wattlo bird i and cathor heads ; nil
members of tbo l>rtxucnhis family ;
avocet, bittern, black cockatoos, coach-
whipbird, cuckoos, gang gang cockatoos,
laud raii, all other members of tho rail
family, porphyrio, coots, otc. ; larks
and those known as pipet ","Echuca, Victoria",1898-03-10,true,http://trove.nla.gov.au/ndp/del/article/114961190,http://dbpedia.org/resource/Echuca,,GjegbJABXJXPPepFNbin,8591153933
"Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954)","Close Seasons for Game, &c. The
following arc tho close seasons
throughout Victoria for the year TIIK
WHOLE YEAR. All birds, except sparrows
and minas, not indigenous to Australia
and their produce (includ* ng eggs),
antelope, -bee-eaters, bustard or wild
turkey, Californian quail, deer,
epithianuras, fantuils, flycatchers,
great Icingfisher or laughing jackass,
grouse, ibio, lyre-birds, magpies,
magpio larks, owls, partridges,
pheasants, platypus, podargus or
mopokes, robins, seals, southern stono
plover or curlew, swallow warblers}
white swan, wrenu. 14TII JUNE TO 20TH
DECEMBER. Black swan, ","Echuca, Victoria",1898-06-15,true,http://trove.nla.gov.au/ndp/del/article/114963652,http://dbpedia.org/resource/Echuca,,MzegbJABXJXPPepFNbin,8591153933
"Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954)",", bird and eatherheads; all
members of tho grauculus family ;
avocet, bittern, black cockatoos, coach-
whip-bird, cuckoos, gang gang cockatoos,
land rail, all other members of tho rail
family, porphyrio, coots, otc. ; larks
and those known as pipot and
chicloramphun nalleo hen, nightjars,
plover or peew t, all ther kinds of
plover cxcopa tho southearn stoi> plover
or curlew ; shrike-tit, sittella,
stilts, jwamp or ground parrakeet, tc«»,
thrtiBhen, ti-ee-oreepers, tbickhoads,
wodgc-biU, wild duck oj any species,
wood swallow","Echuca, Victoria",1898-10-03,true,http://trove.nla.gov.au/ndp/del/article/114966372,http://dbpedia.org/resource/Echuca,,YzegbJABXJXPPepFNbin,8591153933
"Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954)","Olose Seasons for Game, &c. The
following are tbo olose seasons /or gam*
throughout Victoria for the year THE
WHOLE YB4R. All birds, except sparrows
and mlnas, not 1Q» digonous to Australia
and thoir produce (icclading eggs),
antelope, beo-eaters, bustard or wild
turkoy, Califorman quail, doer,
eplthianuras, fantuils, flycatchers,
great kingfisher or laughing jnckaoB,
grouso, ibis, lyre-birds, magpies,
magpio larks, owls, partridges,
pheasants, platypus, podargue or
mopokes, robins, seals, southern stono
plover or ourlew, swallow warblers,
white swan, wren*. 14TH JONB TO 20TH
DECEMBER. Black swnn, emu, wild geese of
all kinds. 1ST AUGUST TO LAST DAY OF
FEBRUARY FOLLOWING. Bronze-winged or
other wild pigoons, quail. 1ST AUGUST TO
20TU DECEMBER (Both dates inclusive.)
All birds known AS cranes, such as
horons, grots, eto. honey-eaters, oxcept
wattlo birds andl eather heads ; all
members of the crauculus family ;
avocet, bittern, blaok cockatoos, ooaoh-
whip bird, cuckoos, gang gang cookalooB,
land rail, all other membora of the
rail-family, porphyrio, ooots, ote. ;
larks and those known as pipot and
cinoloramphua ; mallee hon, mght-jaro,
plover or peewit, all oth«r kinds of
plover exeeps the southern stonplover or
ourlew ; shrike-tit. sittellas, stilts,
swamp or ground parrakcet, te««,
thrushes, tree-oroepers, thickheads,
wodge-bill, wild duck of any spcoies,
wood swallows","Echuca, Victoria",1898-01-15,true,http://trove.nla.gov.au/ndp/del/article/114959808,http://dbpedia.org/resource/Echuca,,EjegbJABXJXPPepFNbin,8591153933
"Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954)","Close Seasons for Game, &c The following
arc tlio close seasons throughout
Victoria for tho year : THE WIIOEE YEAR.
All birds, except sparrow* and minas,
not in* igoDCua to Australia and their
produce (include ng egg""), antelope,
bee-eaters, bustard or wild turkey*
Galifornian quail, deer, epithianuras,
fautiiils, fly-catchora, great
kingfisher or laughing jnckans, grouao,
ibis, lyre-birds, magpies, mdgpie
lurks,' owls, purtridgea, pheasants,
plutypufl, podargus or mopokes, robins,
seals, southern stone plover or curlew,
swallow warblers, white swan, wrens. Hth
Junk TO 20th DECEMBER. Black swan, emu,
wild geese of all kinds. 1ST £uauST..TQ
LAST 'DAY OP FEBRUARY FOLLOWING. Qrunze-
winged or other wild pigeons, quail. ' -
lwr AUGUST TO 20tit DECEMBER* (Both
dates inclusive.) AH birds known as
cranes, such as herons, ;grets, eto.
houey-eators, except wattle bird and
eathor heads ; oil members of tho
urauculus family ; avocet, bittern,
blaok cockatoos, couch-whip-bird,
cuckoos, gang gang cockatoos, land rail,
all other membero of the rail family,
porphyrio, coots, ctc. ; larks and those
known as pipet and clnoloramphuu malice
hen, night-jars^, plover or puaw t, ull
ther kinds of plover exe'ops the
southearn stonplover or curlew ; shrike-
tit, sittells, stilts, swamp .or ground
parralceet, teat, thrushes, treo-
creepors, thickheads>;wedge*biU, wild
duck ! of any Bpeoies, w6od swallows","Echuca, Victoria",1898-10-11,true,http://trove.nla.gov.au/ndp/del/article/114966618,http://dbpedia.org/resource/Echuca,,aDegbJABXJXPPepFNbin,8591153933
